Cluster,Expansin A6
#04,0
#07,0
#03,0.131256482
#03,0
#01,0
#03,0.121072016
#06,0
#07,0
#02,0
#06,0
#04,0
#06,2.211014707
#03,0
#01,0
#03,0.158767675
#06,0
#02,0.575967818
#04,0
#02,0
#05,0
#04,0
#01,1.124749992
#04,2.065128811
#05,0
#02,0.528353449
#05,0
#01,2.54702793
#01,0
#02,0
#04,1.769618811
#02,0
#01,0
#06,1.91281543
#01,3.124660268
#04,0
#03,0
#02,0
#02,0.586650569
#05,0.619899996
#06,1.036437411
#02,0.326389552
#02,0
#02,1.17052645
#02,0.436542339
#04,1.456911627
#01,1.156073756
#06,0
#05,0
#07,0
#02,0
#07,1.309926997
#06,0
#03,0.599506666
#03,0.492962686
#02,0.694083239
#01,0
#05,0
#06,0.527571942
#03,0.582329626
#01,2.64052887
#02,0
#07,0
#02,0.870931832
#01,1.412936938
#02,0
#07,0
#02,0
#04,1.497307857
#06,1.6789651
#04,0
#04,0
#01,1.093416067
#03,0
#05,0
#02,0
#06,0.454349347
#04,0
#01,0.346719015
#02,0
#04,0.337986821
#02,0
#01,2.695871814
#05,0
#01,1.815121108
#02,0
#05,0.191111655
#02,0.347306108
#01,0
#03,0
#02,1.589925906
#01,0
#01,3.412280525
#04,0
#06,0.174852997
#05,0.392102854
#01,2.694758211
#06,0
#04,0
#01,3.37097252
#02,0
#02,0
#01,1.813821518
#01,1.304854582
#03,0
#02,0
#03,0
#07,0
#03,0
#02,0
#03,0.482314392
#07,0
#02,0
#05,0
#01,2.85953673
#03,0
#01,1.743999186
#05,0
#06,1.934546939
#06,0.198457535
#07,0
#01,1.91922335
#03,0
#02,0.572954688
#03,0
#02,0
#03,0.660069347
#06,1.783623137
#05,0
#04,0.298337633
#01,0
#02,0
#04,0
#05,0
#03,0
#02,0
#06,0.312544907
#07,0
#03,0.15762168
#07,0
#04,0
#07,0
#01,0
#06,0.997769009
#03,0
#01,1.936912767
#04,0
#03,0.150605441
#03,0.506780068
#01,0
#01,1.23349013
#02,0
#02,0
#07,0
#05,0
#02,0
#02,0
#07,0
#02,0
#05,0
#05,0
#06,0
#05,1.242144189
#03,0.209149186
#03,0.227883582
#01,2.815298205
#07,0
#03,0
#03,0
#02,0
#05,0
#02,0.621799269
#01,0
#01,1.066324759
#03,0.694367037
#07,0
#01,0
#04,0
#01,1.87028284
#07,0.966576998
#02,0
#06,0.704556503
#06,0.932192401
#05,0
#07,0
#04,0
#01,1.167924869
#02,0
#04,1.324095932
#03,0
#03,0
#06,1.467540369
#04,0
#05,0.208302171
#01,0
#09,1.388773377
#05,0
#01,0.707092774
#07,0
#02,1.315041709
#01,0
#07,0
#01,2.027480736
#03,0
#05,0
#01,0
#02,0
#07,0
#05,0
#02,0
#03,0
#02,0
#01,1.950591407
#06,0
#02,0
#02,0
#03,0
#01,0.954632816
#01,0.919655058
#01,1.642165833
#01,0
#03,0
#01,1.533034709
#05,0.17354732
#06,0
#03,0.205919563
#05,0
#02,0
#02,0
#08,0
#04,0
#02,0
#02,0
#02,0
#03,0
#03,1.345856344
#03,0.19197758
#01,0
#02,0
#05,0
#03,0.18770034
#01,1.583041468
#02,1.191371277
#06,0.703855273
#01,0
#01,1.453717967
#03,0
#02,0
#06,0
#03,0
#03,0
#05,0
#03,0
#07,0
#01,1.723119886
#02,0
#01,3.422532036
#07,0
#04,0.383504353
#02,1.274877259
#02,0
#07,0
#01,0
#03,0
#03,0.216117212
#07,0
#05,0
#05,0
#07,0
#03,0.235391809
#05,0
#01,0
#03,0
#07,0
#01,0
#02,0.56567205
#01,0
#02,1.025168228
#08,0
#02,0
#03,0.856875955
#08,0
#04,0.50931076
#04,0
#01,3.262431434
#02,0.677963721
#01,0
#02,0.498466888
#01,0
#07,0
#02,0
#06,1.200365527
#02,0
#01,1.902932582
#02,0.600773016
#04,0
#06,0.078657604
#03,0
#04,0
#05,0
#02,0
#04,0
#03,0
#05,0
#02,0
#03,0.253846121
#07,0
#04,0
#01,3.015038138
#03,0
#04,0
#01,1.973889571
#02,0
#05,0
#02,0
#01,0
#05,0
#01,1.333946071
#04,0.892894592
#03,0
#07,0
#04,1.298989483
#04,0.465512009
#02,0
#02,0
#02,0
#01,0.77206645
#03,0
#07,0
#01,2.375068546
#07,0
#07,0
#03,0
#02,0.631475744
#02,0
#03,0
#01,0
#05,0
#02,0
#06,0.144375448
#06,1.013738895
#03,0
#01,0
#01,3.095446785
#07,0.697676463
#01,0
#05,0
#02,0
#04,0
#06,0
#02,0
#03,0
#03,0
#03,0.232521176
#07,0
#01,1.696951937
#02,0.419534341
#06,0
#06,0
#01,1.882199585
#07,0
#07,0
#02,0
#05,0
#05,0
#01,1.171932369
#05,0
#01,0.505524226
#07,1.22569946
#04,1.026689878
#01,0
#04,1.320199281
#04,0
#01,0
#02,0
#04,0
#02,0
#06,2.037428211
#01,0
#02,0
#01,0.567871038
#01,1.494764692
#03,0
#06,1.388532865
#02,0.312273245
#02,0
#08,0
#06,1.302648558
#03,0
#07,0
#04,0
#05,0.200223077
#06,1.410408848
#04,0
#03,0
#02,0
#03,0
#01,0.686842115
#07,0
#06,0
#05,0
#01,0
#07,0
#01,1.040599621
#04,0
#01,2.291634173
#01,0
#02,0.370336585
#05,0
#01,2.64052887
#06,0.995589183
#07,0.373712825
#04,1.404601507
#01,1.431009298
#01,0
#07,0
#03,0
#03,0
#08,0.221400726
#01,3.216444136
#03,0
#06,0
#04,0
#07,0
#02,0
#01,0
#03,0
#06,0
#02,0
#06,0.184810973
#03,0.162545961
#06,0.35978273
#02,1.425642257
#03,0
#02,0
#06,0
#03,0.139270303
#02,0
#03,0
#07,0
#05,0.175941859
#07,0
#02,0.702701351
#02,0
#01,0
#06,2.624609376
#02,0
#02,0
#02,0
#03,0
#08,0
#04,0
#01,2.476695351
#02,0
#05,0.715010884
#06,0.307069003
#02,0
#03,0
#02,0
#03,0
#05,0
#02,0.559671581
#05,0
#02,0
#02,1.127523752
#03,0.187285524
#04,0
#02,0
#02,0
#02,0
#03,0
#05,0
#09,0.123784943
#01,1.410544518
#04,0
#01,0
#03,0
#02,0
#02,0
#06,0
#07,0
#01,0
#01,2.223337521
#10,0
#04,0
#09,1.192065721
#07,0
#10,0
#02,0
#03,0
#06,0.480908023
#07,0
#06,0
#05,0.283038911
#05,0
#03,0
#06,0.282871888
#02,0
#06,0.164625573
#05,0
#02,1.259649733
#05,0
#03,0
#07,0
#02,0.349759782
#04,0
#02,1.134897226
#02,0.389758091
#01,0.443713607
#03,0.454614007
#08,1.338596694
#05,0
#05,0
#04,0.595989523
#03,0
#01,2.777475554
#01,1.713510795
#04,0.872288832
#02,0
#01,0
#01,1.835670701
#01,1.979682526
#02,0
#01,1.110793766
#02,0
#02,0.951585937
#08,0
#01,1.520627859
#07,0
#04,0
#07,0
#01,2.065128811
#04,0
#09,0.987813265
#01,0.469793756
#03,0
#05,0.257318798
#05,0.257111888
#01,2.561194335
#01,0.879969296
#02,0
#01,2.250779254
#03,0.988947544
#01,1.579214704
#02,0
#07,0.813586876
#03,0
#01,0
#02,0
#06,1.056870405
#01,0
#07,0
#01,2.73849956
#03,0
#04,0.821196847
#05,1.078002512
#05,0
#01,0.715864449
#01,3.705778096
#01,2.31045531
#01,0
#07,0
#01,1.249391011
#01,0
#02,2.13133732
#01,1.378511623
#07,0
#03,0.154578782
#04,1.878493374
#01,1.312479031
#02,0
#01,1.265733555
#04,1.58520299
#01,0
#08,0
#01,1.53554267
#05,0
#04,0
#08,0
#02,0.683361402
#06,1.687392975
#07,0
#03,0
#04,0
#03,0
#02,0
#02,0
#01,1.241386551
#01,0
#03,0
#01,3.288643503
#04,0
#01,1.413536412
#07,0
#05,0
#03,0.246476768
#03,0.259102773
#02,0
#05,0
#03,0.228752586
#03,0
#02,0
#07,0
#03,0
#01,1.195550809
#03,0
#05,0
#03,0.658510974
#03,0.4325857
#02,0.605377163
#03,0
#07,0
#01,0
#02,0.551654987
#02,0
#04,1.581125544
#01,1.994606741
#05,0
#05,0.365060348
#03,0
#05,0
#07,0
#02,0
#03,0
#01,0
#09,0.756064907
#05,0.739901357
#02,0
#01,0
#01,0
#05,0
#05,0
#03,0
#05,0
#02,0
#01,0.878311769
#01,0.609530273
#03,0
#01,0
#01,2.273177425
#03,0
#04,1.307385537
#02,1.798388485
#02,0
#06,0.943949471
#06,0.774046246
#05,0
#01,0
#07,0
#06,0
#10,0
#05,0
#04,0
#04,1.053298226
#02,0
#03,0
#06,1.57351248
#01,1.559761947
#06,0.488830782
#07,0
#05,0
#06,0
#05,0
#01,2.174706333
#05,0.671297734
#02,0
#04,1.561311233
#02,0
#03,0
#01,2.31732252
#02,0
#02,0
#03,0
#03,0
#07,0
#09,1.075553997
#05,0
#02,0
#01,1.808214129
#03,0
#08,0.862083544
#05,0
#03,0.222529906
#02,0
#06,0.196080224
#02,0
#06,0
#01,0
#01,1.724741839
#01,2.50853806
#02,0.390713894
#07,0
#07,0
#02,1.881650604
#02,0.549104694
#03,0
#06,0.166048208
#06,0.679101415
#01,0
#06,1.10271094
#07,0
#01,0.392210109
#03,0
#02,1.993685552
#05,0
#06,1.834923917
#02,0
#02,0
#02,0
#05,0
#01,1.014894674
#04,0
#05,0
#02,0
#01,0.562544522
#02,0.458940321
#02,0
#01,1.358928018
#08,0
#03,0.862083544
#01,0
#06,0
#03,0
#05,0
#02,0
#01,0.662433927
#02,1.054908341
#06,0.340713253
#01,2.110558375
#04,0
#02,1.085937525
#02,0
#01,1.23686123
#02,0
#01,1.537149091
#07,0
#01,3.602276744
#04,0.387965462
#03,0.075642162
#02,0
#02,0.556176181
#01,0
#01,0
#04,0
#02,0
#07,0
#01,0
#07,0
#03,0
#05,0.158505759
#04,0
#01,0.88414147
#01,2.247927513
#02,0
#02,0
#02,0
#01,1.285384494
#02,0
#10,0.074767768
#01,2.214366281
#01,1.654892445
#05,0
#01,1.613405404
#03,0
#03,0.145777116
#07,0
#03,0
#06,0.794581346
#03,0
#06,0.838264343
#01,1.868892131
#03,0
#07,0
#02,0
#01,0.997123239
#01,0.559232226
#02,0
#03,0
#07,0
#03,0
#04,0
#08,0
#05,0
#05,0
#07,0
#07,0
#05,0
#05,0
#07,0
#03,0
#03,0
#08,0.697676463
#05,0
#02,0
#05,0
#05,0
#01,2.098982811
#05,0
#03,0.246836093
#05,0
#02,0
#01,2.293126292
#01,1.071296969
#05,0
#02,0.390926935
#03,0
#02,2.569450784
#04,1.499860459
#03,0
#01,0
#04,0
#06,0.137398681
#03,0
#05,0
#03,0
#06,1.15438873
#06,0.829934761
#01,1.583041468
#02,0
#06,1.253276432
#01,0.898059611
#07,1.325400287
#03,0
#03,0
#06,1.804307403
#03,0.804851078
#01,0
#04,0
#03,0
#03,0.123901955
#07,0
#05,0
#04,1.676302812
#02,0
#07,0
#01,0.734664645
#02,0
#04,0
#02,0
#02,0.498989278
#07,0
#02,1.304854582
#05,0
#04,0.435579484
#01,0
#01,1.990316243
#01,1.597575248
#07,0
#05,0
#04,0
#01,0
#02,0
#02,0
#05,0
#06,0
#02,0
#01,2.007607449
#06,0
#01,3.377078116
#01,0
#03,0
#01,2.520883961
#07,0
#01,0.756728849
#08,0.901731385
#01,0.994976933
#07,0
#03,0
#01,0
#05,0.970017756
#04,1.257116908
#07,0
#08,1.432165065
#04,0
#04,1.638327855
#05,0
#02,0
#01,0
#01,2.31045531
#06,0
#01,1.041383921
#01,1.668413825
#02,0
#07,0
#06,0
#01,0
#03,0
#06,0.319920966
#04,1.584641973
#07,0
#03,0
#06,0
#01,0
#05,0
#04,0
#05,0
#07,0.554876775
#03,0
#04,1.604678268
#05,0.399199428
#03,0
#02,1.206849299
#06,1.806067836
#01,1.404601507
#02,0
#07,0
#03,0.148709805
#06,1.160586622
#06,1.161844048
#03,0.141498566
#01,1.585924939
#04,0
#04,1.221294271
#03,0.225651293
#06,2.016246276
#01,0.738894331
#02,0
#01,0.411580227
#04,0
#01,0
#09,1.498157673
#02,0
#04,0
#01,0
#07,0
#02,1.324530412
#02,0
#07,0
#01,0
#06,0.696703132
#02,0
#03,0
#06,0.461904104
#02,0
#01,0
#04,0
#06,0.214268176
#01,2.192645078
#07,0
#02,1.346650524
#01,0
#07,0
#05,0
#01,1.406082194
#02,2.347998586
#02,0
#04,0.384532586
#01,0
#02,0
#04,0.359032727
#02,0
#07,0.356358541
#04,0
#02,0
#06,2.009246334
#02,0
#01,1.185159515
#08,0
#07,0
#07,0
#02,0
#01,1.400179541
#02,0.805658269
#03,0
#01,1.275278002
#06,0.846333157
#01,0
#05,0
#03,0
#07,0
#02,0
#05,0.167378946
#03,0
#07,0
#05,0
#07,0
#02,0
#05,0
#01,1.177998302
#01,0
#04,0
#03,0
#04,0
#01,0.774329923
#07,0
#07,0.399421886
#05,0
#01,0
#01,0
#04,0
#07,0
#01,0.909563687
#09,1.520452205
#04,0.681552474
#07,0
#04,0.625909205
#01,0
#01,2.027480736
#02,1.36654993
#03,0
#02,0
#02,0
#05,0
#01,2.231695876
#03,0
#02,0
#01,0
#01,1.698071272
#01,2.966833136
#04,0.532627637
#06,0
#09,1.310946538
#03,0
#01,2.024136906
#06,0
#05,0.364596596
#07,0
#03,0
#03,0
#02,0
#01,1.489706444
#06,2.145718773
#01,1.309926997
#05,0
#01,1.476397861
#06,1.536235215
#03,0
#01,0
#02,0
#03,0
#01,1.933402251
#05,0
#05,0.804407009
#08,0
#03,0.74200186
#02,0.503563413
#07,0
#03,0
#06,0.324362962
#07,0
#02,0
#02,0.359662518
#01,0
#02,2.527681983
#03,0
#04,0
#01,0.821196847
#06,1.156399533
#06,0.433174583
#02,0.51463501
#07,0
#03,0.150715675
#01,2.09976143
#02,0
#03,0
#03,0
#01,2.047816235
#08,2.412851834
#04,0
#02,0
#02,1.118105521
#05,0
#07,0
#01,2.688101136
#01,0.795180208
#01,0
#07,0
#06,0
#02,0
#01,1.347326367
#07,0
#01,0
#03,0
#07,0
#02,2.231995775
#08,1.535722153
#04,0
#02,0.644668747
#05,0.128679148
#03,0
#05,0
#09,1.459049195
#02,0.385773811
#01,3.07080535
#01,0
#03,0
#06,1.315298565
#05,0.171196819
#01,1.313759035
#06,0
#01,0
#01,1.513636054
#01,2.825435606
#06,0
#04,0.168830052
#02,0
#01,0.849538659
#03,0
#01,2.407124482
#05,0.219678037
#03,0
#02,0
#01,0
#02,0
#05,0
#01,2.019476952
#02,1.346312875
#05,0
#03,0.164625573
#03,0
#02,0
#07,0
#01,1.053298226
#01,0
#01,1.916065792
#07,0
#03,0
#06,2.057915259
#01,0
#06,0
#03,0
#03,0
#03,0
#05,0
#02,0
#03,0
#09,0
#03,0
#03,0
#01,2.925665371
#01,0.481989109
#07,0
#02,0
#04,0
#01,0
#03,1.567470054
#06,0.085956388
#01,0.695618563
#03,0.127982361
#06,1.727000662
#06,1.686828638
#04,0
#07,0
#03,0
#01,0.797886581
#07,0
#04,0.503031309
#04,0
#06,0
#03,0
#06,0
#06,0.577779435
#05,0.25665328
#02,0
#01,0.5854438
#07,0
#02,0
#02,1.894290559
#07,0
#02,0
#05,0
#01,2.680936391
#07,0
#01,1.426406313
#02,0
#07,0
#02,0
#02,0
#06,0
#03,0
#01,0
#01,0.828954459
#03,0.0980269
#02,0
#02,0.319920966
#07,0
#01,0.874469118
#08,0.388438365
#06,0
#01,3.12049495
#03,0
#06,0
#07,0
#07,0
#05,0
#01,1.276481841
#01,0
#05,0.764733636
#02,0
#01,0
#04,0
#04,0
#04,1.258674287
#05,0
#01,2.144610272
#07,0.858911701
#01,2.815298205
#06,0.155378663
#04,0.628679958
#02,0.407368278
#02,0
#02,0.497598688
#01,3.695124287
#03,0
#05,0
#02,0
#05,0
#01,0.690696015
#01,0
#06,1.019967667
#03,0
#02,0.936019374
#02,0
#01,2.905640968
#06,1.479955472
#01,0
#07,1.199761447
#07,0
#03,0
#10,0
#06,0
#05,0
#02,0
#05,0
#01,0
#02,0
#10,0
#06,0
#03,0
#02,0
#06,0.313636317
#03,0
#06,0.291886866
#07,0.301529145
#06,0
#05,0
#05,0
#02,0
#03,0
#02,1.463344795
#02,0
#02,0.910354654
#07,0
#02,0
#01,0
#02,0
#01,1.400179541
#01,1.081388327
#06,0
#04,0
#01,0
#01,0
#02,0
#01,1.13687435
#04,0
#06,0
#06,0.13943195
#02,0.839870456
#07,0
#04,0
#01,2.716119669
#02,0
#05,0.297473357
#01,3.502829235
#04,0
#05,0
#08,0.857509691
#05,0
#07,0
#06,0
#09,1.269619677
#03,0
#06,1.704068932
#03,0.650432131
#02,0
#04,1.458514165
#04,0
#07,0.922392084
#01,0
#02,0
#01,1.354808925
#06,1.548777397
#01,0.648499395
#04,0.29091241
#01,0
#03,0
#03,0.397373621
#04,0
#01,2.892957407
#03,0.568880445
#01,2.130396637
#01,2.597055573
#02,0
#01,3.648653225
#07,0
#01,0
#01,0.915731083
#01,0
#02,0
#04,0
#02,0
#02,0
#02,0
#03,0
#05,0.15015047
#02,0.421633526
#02,0.586408812
#02,0
#05,0
#03,0
#06,0.185608587
#01,0.812880856
#01,0
#04,0
#01,1.309926997
#02,0
#01,2.225420114
#01,1.200289982
#01,1.579214704
#02,0
#03,0
#06,1.039620978
#04,1.960609269
#04,0
#05,0.207641466
#06,1.077159521
#07,0
#04,0
#01,2.180647212
#05,0
#06,0
#09,1.279928339
#06,0
#06,1.14058126
#05,0
#07,1.214748986
#03,0
#01,1.673457387
#03,1.137267498
#06,0.640064893
#05,0
#07,0
#05,0
#03,0
#03,0
#01,2.424065412
#03,0.188683672
#02,0
#06,1.279447002
#01,2.623544446
#01,0
#04,0.597994176
#01,1.571621765
#01,0.857859752
#08,0
#01,0
#01,3.129602515
#04,0
#04,1.47970074
#02,0.476526269
#09,2.471022855
#03,0
#03,0
#07,0
#05,0
#03,0
#01,0
#04,0
#05,0
#01,0
#07,0
#01,1.220928685
#02,0
#03,0.16080485
#01,1.567855244
#03,0
#02,0.841634404
#04,0.910651633
#06,0
#02,0
#03,0
#01,1.27048671
#04,0
#07,0
#07,0
#02,0
#01,1.704445352
#01,0
#02,0
#02,0
#08,0.185072118
#02,0
#07,0
#01,1.245947149
#06,1.871529154
#07,0.797208219
#02,0
#01,0
#01,0
#04,0.614803707
#05,0.091595558
#04,0
#01,0
#04,0.152550075
#06,0
#01,0
#02,0
#01,0
#07,0
#04,1.121990524
#04,0
#05,0.196884236
#08,0
#02,0
#02,1.353988317
#05,0
#01,1.666799831
#03,0
#07,0.319565192
#03,0
#03,0
#01,0.835866977
#07,0
#01,2.550966474
#02,0
#01,1.243662413
#06,0
#01,1.26337113
#08,1.881023642
#03,0
#02,0
#08,0
#07,0
#02,0.267385398
#02,0
#02,0.579013234
#01,3.001684408
#04,0
#01,0
#02,0
#02,0
#02,0.330291997
#06,0.209697348
#04,0
#01,2.137949557
#05,0
#01,1.540826638
#06,0
#01,1.206136531
#08,0
#05,0.19691115
#03,0.144578175
#02,0
#02,0
#07,0
#03,0.126355987
#01,2.0547006
#02,0
#01,0
#06,0.249186759
#05,0
#06,0
#01,1.312479031
#04,0
#04,0
#05,0
#05,0
#08,2.450032921
#01,0
#01,0
#01,2.744606109
#04,0
#02,0
#01,2.74723393
#01,0.892894592
#03,0
#04,0.935862178
#06,0
#03,0.949260009
#05,0.30938254
#04,0
#07,0
#04,0.670202329
#03,0
#03,0
#07,0
#05,0.341280072
#01,2.037589583
#01,2.68589141
#02,0
#03,0
#01,1.938421751
#03,0
#01,1.251698172
#03,0
#03,0
#04,0.392532228
#01,0
#07,0
#03,0
#01,0.824814577
#02,0
#02,0
#02,0
#01,0
#07,0
#03,0.186921032
#04,0
#07,0
#05,0
#01,0
#01,1.911665101
#06,0.167145982
#01,1.003136033
#02,0
#01,0
#06,0
#07,0
#01,0
#01,2.68589141
#06,0
#01,0
#01,1.22569946
#07,0
#01,1.114700949
#02,0
#01,1.584001345
#04,0
#05,0
#08,1.170927778
#06,1.211144695
#03,0
#08,2.489288831
#06,1.257146819
#04,0
#06,0.205156928
#08,0
#05,0
#02,0
#07,0.767858743
#03,0
#06,0
#01,0.807973706
#04,0
#06,2.012533407
#02,0
#02,0
#01,3.078744666
#02,0
#02,0
#02,1.822634752
#04,0.127948288
#06,1.766733745
#05,0.572340554
#01,0
#03,0
#03,0
#02,0
#01,0
#02,0
#05,0
#06,1.470613185
#04,2.94069229
#01,1.13640295
#02,0
#07,0
#02,0
#01,1.141611068
#07,0
#06,0
#06,0
#02,1.021761631
#01,0
#01,0
#01,2.430923914
#02,0
