Cluster,PEAR1
#04,0
#07,0
#03,0
#03,0
#01,0
#03,0
#06,0
#07,0
#02,0
#06,0
#04,0
#06,0
#03,0
#01,0
#03,0
#06,0
#02,0
#04,0
#02,0
#05,0
#04,0
#01,0
#04,0
#05,0
#02,0
#05,0
#01,0
#01,0
#02,0
#04,0
#02,0
#01,0
#06,0
#01,0
#04,0
#03,0
#02,0
#02,0
#05,0
#06,0
#02,0
#02,0
#02,0
#02,0
#04,0
#01,0
#06,0
#05,0
#07,0
#02,0
#07,0
#06,0
#03,0
#03,0
#02,0
#01,0
#05,0
#06,0
#03,0
#01,0
#02,0
#07,0
#02,0
#01,0
#02,0
#07,0
#02,0
#04,0
#06,0
#04,0
#04,0
#01,0
#03,0
#05,0.360928788
#02,0
#06,0
#04,0
#01,0
#02,0
#04,0
#02,0
#01,0
#05,0
#01,0
#02,0
#05,0
#02,0
#01,0
#03,0
#02,0
#01,0
#01,0
#04,0
#06,0
#05,0
#01,0
#06,0
#04,0
#01,0
#02,0
#02,0
#01,0
#01,0
#03,0
#02,0
#03,0
#07,0
#03,0
#02,0
#03,0
#07,0
#02,0
#05,0
#01,0
#03,0
#01,0
#05,0
#06,0
#06,0
#07,0
#01,0
#03,0
#02,0
#03,0
#02,0
#03,0
#06,0
#05,0
#04,0
#01,0
#02,0
#04,0
#05,0
#03,0
#02,0
#06,0
#07,0
#03,0
#07,0
#04,0
#07,0
#01,0
#06,0
#03,0
#01,0
#04,0
#03,0
#03,0
#01,0
#01,0
#02,0
#02,0
#07,0
#05,0
#02,0
#02,0
#07,0
#02,0
#05,0
#05,0
#06,0
#05,0
#03,0
#03,0
#01,0
#07,0
#03,0
#03,0
#02,0
#05,0
#02,0
#01,0
#01,0
#03,0
#07,0
#01,0
#04,0
#01,0
#07,0
#02,0
#06,0
#06,0
#05,0
#07,0
#04,0
#01,0
#02,0
#04,0
#03,0
#03,0
#06,0
#04,0
#05,0
#01,0
#09,0
#05,0
#01,0
#07,0
#02,0
#01,0
#07,0
#01,0
#03,0
#05,0
#01,0
#02,0
#07,0
#05,0
#02,0
#03,0
#02,0
#01,0
#06,0
#02,0
#02,0
#03,0
#01,0
#01,0
#01,0
#01,0
#03,0
#01,0
#05,0
#06,0
#03,0
#05,0
#02,0
#02,0
#08,0
#04,0.766188774
#02,0
#02,0
#02,0
#03,0
#03,0
#03,0
#01,0
#02,0
#05,0
#03,0
#01,0
#02,0
#06,0
#01,0
#01,0
#03,0
#02,0
#06,0
#03,0
#03,0
#05,0
#03,0
#07,0
#01,0
#02,0
#01,0
#07,0
#04,0
#02,0
#02,0
#07,0
#01,0
#03,0
#03,0
#07,0
#05,0
#05,0
#07,0
#03,0
#05,0
#01,0
#03,0
#07,0
#01,0
#02,0
#01,0
#02,0
#08,0
#02,0
#03,0
#08,0
#04,0
#04,0
#01,0
#02,0
#01,0
#02,0
#01,0
#07,0
#02,0
#06,0
#02,0
#01,0
#02,0
#04,0
#06,0
#03,0
#04,0
#05,0
#02,0
#04,0
#03,0
#05,0
#02,0
#03,0
#07,0
#04,0
#01,0
#03,0
#04,0
#01,0
#02,0
#05,0
#02,0
#01,0
#05,0
#01,0
#04,0.651926841
#03,0
#07,0
#04,0
#04,0
#02,0
#02,0
#02,0
#01,0
#03,0
#07,0
#01,0
#07,0
#07,0
#03,0
#02,0
#02,0
#03,0
#01,0
#05,0
#02,0
#06,0
#06,0
#03,0
#01,0
#01,0
#07,0
#01,0
#05,0
#02,0
#04,0
#06,0
#02,0
#03,0
#03,0
#03,0
#07,0
#01,0
#02,0
#06,0
#06,0
#01,0
#07,0
#07,0
#02,0
#05,0
#05,0
#01,0
#05,0.91935198
#01,0
#07,0
#04,0
#01,0
#04,0
#04,0
#01,0
#02,0
#04,0
#02,0
#06,0
#01,0
#02,0
#01,0
#01,0
#03,0
#06,0
#02,0
#02,0
#08,0
#06,0
#03,0
#07,0
#04,0
#05,0
#06,0
#04,0
#03,0
#02,0
#03,0
#01,0
#07,0
#06,0
#05,0
#01,0
#07,0
#01,0
#04,0
#01,0
#01,0
#02,0
#05,0
#01,0
#06,0
#07,0
#04,0
#01,0
#01,0
#07,0
#03,0
#03,0
#08,0
#01,0
#03,0
#06,0
#04,0
#07,0
#02,0
#01,0
#03,0
#06,0
#02,0
#06,0
#03,0
#06,0
#02,0
#03,0
#02,0
#06,0
#03,0
#02,0
#03,0
#07,0
#05,0
#07,0
#02,0
#02,0
#01,0
#06,0
#02,0
#02,0
#02,0
#03,0
#08,0
#04,0
#01,0
#02,0
#05,0
#06,0
#02,0
#03,0
#02,0
#03,0
#05,0
#02,0
#05,0
#02,0
#02,0
#03,0
#04,0
#02,0
#02,0
#02,0
#03,0
#05,0
#09,0
#01,0
#04,0
#01,0
#03,0
#02,0
#02,0
#06,0
#07,0
#01,0
#01,0
#10,0
#04,0
#09,0
#07,0
#10,0
#02,0
#03,0
#06,0
#07,0
#06,0
#05,0
#05,0
#03,0.21176328
#06,0
#02,0
#06,0
#05,0
#02,0
#05,0
#03,0
#07,0
#02,0
#04,0
#02,0
#02,0
#01,0
#03,0
#08,0
#05,0
#05,0
#04,0
#03,0
#01,0
#01,0
#04,0
#02,0
#01,0
#01,0
#01,0
#02,0
#01,0
#02,0
#02,0
#08,0
#01,0
#07,0
#04,0
#07,0
#01,0
#04,0
#09,0
#01,0
#03,0
#05,0
#05,0
#01,0
#01,0
#02,0
#01,0
#03,0
#01,0
#02,0
#07,0
#03,0
#01,0
#02,0
#06,0
#01,0
#07,0
#01,0
#03,0
#04,0
#05,0
#05,0
#01,0
#01,0
#01,0
#01,0
#07,0
#01,0
#01,0
#02,0
#01,0
#07,0
#03,0
#04,0
#01,0
#02,0
#01,0
#04,0
#01,0
#08,0
#01,0
#05,0
#04,0
#08,0
#02,0
#06,0
#07,0
#03,0
#04,0
#03,0
#02,0
#02,0
#01,0
#01,0
#03,0
#01,0
#04,0
#01,0
#07,0
#05,0
#03,0
#03,0
#02,0
#05,0
#03,0
#03,0
#02,0
#07,0
#03,0
#01,0
#03,0
#05,0
#03,0
#03,0
#02,0
#03,0
#07,0
#01,0
#02,0
#02,0
#04,0
#01,0
#05,0
#05,0
#03,0
#05,0
#07,0
#02,0
#03,0
#01,0
#09,0
#05,0
#02,0.273537692
#01,0
#01,0
#05,0
#05,0
#03,0
#05,0
#02,0
#01,0
#01,0
#03,0
#01,0
#01,0
#03,0
#04,0
#02,0
#02,0
#06,0
#06,0
#05,0
#01,0
#07,0
#06,0
#10,0
#05,0
#04,0
#04,0
#02,0
#03,0
#06,0
#01,0
#06,0
#07,0
#05,0
#06,0
#05,0
#01,0
#05,0
#02,0
#04,0
#02,0
#03,0
#01,0
#02,0
#02,0
#03,0
#03,0
#07,0
#09,0
#05,0
#02,0
#01,0
#03,0
#08,0
#05,0
#03,0
#02,0
#06,0
#02,0
#06,0
#01,0
#01,0
#01,0
#02,0
#07,0
#07,0
#02,0
#02,0
#03,0
#06,0
#06,0
#01,0
#06,0
#07,0
#01,0
#03,0
#02,0
#05,0
#06,0
#02,0
#02,0
#02,0
#05,0
#01,0
#04,0.580193257
#05,0
#02,0
#01,0
#02,0
#02,0.984737
#01,0
#08,0
#03,0
#01,0
#06,0
#03,0
#05,0.207462001
#02,0
#01,0
#02,0
#06,0
#01,0
#04,0
#02,0
#02,0
#01,0
#02,0
#01,0
#07,0
#01,0
#04,0
#03,0
#02,0
#02,0
#01,0
#01,0
#04,0
#02,0
#07,0
#01,0
#07,0
#03,0
#05,0
#04,0
#01,0
#01,0
#02,0
#02,0
#02,0
#01,0
#02,0
#10,0
#01,0
#01,0
#05,0
#01,0
#03,0
#03,0
#07,0
#03,0
#06,0
#03,0
#06,0
#01,0
#03,0.082542388
#07,0
#02,0
#01,0
#01,0
#02,0
#03,0
#07,0
#03,0
#04,0
#08,0
#05,0
#05,0
#07,0
#07,0
#05,0
#05,0
#07,0
#03,0
#03,0
#08,0
#05,0
#02,0
#05,0
#05,0
#01,0
#05,0
#03,0
#05,0
#02,0
#01,0
#01,0
#05,0
#02,0
#03,0
#02,0
#04,0
#03,0
#01,0
#04,0
#06,0
#03,0
#05,0
#03,0
#06,0
#06,0
#01,0
#02,0
#06,0
#01,0
#07,0
#03,0
#03,0
#06,0
#03,0
#01,0
#04,0
#03,0
#03,0
#07,0
#05,0
#04,0
#02,0
#07,0
#01,0
#02,0
#04,0
#02,0
#02,0
#07,0
#02,0
#05,0
#04,0
#01,0.729729252
#01,0
#01,0
#07,0
#05,0
#04,0
#01,0
#02,0
#02,0
#05,0
#06,0
#02,0
#01,0
#06,0
#01,0
#01,0
#03,0
#01,0
#07,0
#01,0
#08,0
#01,0
#07,0
#03,0
#01,0
#05,0
#04,0
#07,0
#08,0
#04,0
#04,0
#05,0
#02,0
#01,0
#01,0
#06,0
#01,0
#01,0
#02,0
#07,0
#06,0
#01,0
#03,0
#06,0
#04,0
#07,0
#03,0
#06,0
#01,0
#05,0
#04,0
#05,0
#07,0
#03,0
#04,0.748827357
#05,0
#03,0
#02,0
#06,0
#01,0
#02,0
#07,0
#03,0
#06,0
#06,0
#03,0
#01,0
#04,0
#04,0
#03,0
#06,0
#01,0
#02,0
#01,0
#04,0
#01,0
#09,0
#02,0
#04,0
#01,0
#07,0
#02,0
#02,0
#07,0
#01,0
#06,0
#02,0
#03,0
#06,0
#02,0
#01,0
#04,0
#06,0
#01,0
#07,0
#02,0
#01,0
#07,0
#05,0
#01,0
#02,0
#02,0
#04,0
#01,0
#02,0
#04,0
#02,0
#07,0
#04,0
#02,0
#06,0
#02,0
#01,0
#08,0
#07,0
#07,0
#02,0
#01,0
#02,0
#03,0
#01,0
#06,0
#01,0
#05,0
#03,0
#07,0
#02,0
#05,0
#03,0
#07,0
#05,0
#07,0
#02,0
#05,0
#01,0
#01,0
#04,0
#03,0
#04,0
#01,0
#07,0
#07,0
#05,0
#01,0
#01,0
#04,0
#07,0
#01,0
#09,0
#04,0
#07,0
#04,0
#01,0
#01,0
#02,0
#03,0
#02,0
#02,0
#05,0
#01,0
#03,0
#02,0
#01,0
#01,0
#01,0
#04,0
#06,0
#09,0
#03,0
#01,0
#06,0
#05,0
#07,0
#03,0
#03,0
#02,0
#01,0
#06,0
#01,0
#05,0
#01,0
#06,0
#03,0
#01,0
#02,0
#03,0
#01,0
#05,0
#05,0
#08,0
#03,0
#02,0
#07,0
#03,0
#06,0
#07,0
#02,0
#02,0
#01,0
#02,0
#03,0
#04,0
#01,0
#06,0
#06,0
#02,0
#07,0
#03,0
#01,0
#02,0
#03,0
#03,0
#01,0
#08,0
#04,0
#02,0
#02,0
#05,0
#07,0
#01,0
#01,0
#01,0
#07,0
#06,0
#02,0
#01,0
#07,0
#01,0
#03,0
#07,0
#02,0
#08,0
#04,0
#02,0
#05,0
#03,0
#05,0
#09,0
#02,0
#01,0
#01,0
#03,0
#06,0
#05,0
#01,0
#06,0
#01,0
#01,0
#01,0
#06,0
#04,0
#02,0
#01,0
#03,0
#01,0
#05,0
#03,0
#02,0
#01,0
#02,0
#05,0
#01,0
#02,0
#05,0
#03,0
#03,0
#02,0
#07,0
#01,0
#01,0
#01,0
#07,0
#03,0
#06,0
#01,0
#06,0
#03,0
#03,0
#03,0
#05,0.441251603
#02,0
#03,0
#09,0
#03,0
#03,0
#01,0
#01,0
#07,0
#02,0
#04,0
#01,0
#03,0
#06,0
#01,0
#03,0
#06,0
#06,0
#04,0
#07,0
#03,0
#01,0
#07,0
#04,0
#04,0.215148527
#06,0
#03,0
#06,0
#06,0
#05,0
#02,0
#01,0
#07,0
#02,0
#02,0
#07,0
#02,0
#05,0
#01,0
#07,0
#01,0
#02,0
#07,0
#02,0
#02,0
#06,0
#03,0
#01,0
#01,0
#03,0
#02,0
#02,0
#07,0
#01,0
#08,0
#06,0
#01,0
#03,0
#06,0
#07,0
#07,0
#05,0
#01,0
#01,0
#05,0
#02,0
#01,0
#04,0
#04,0
#04,0
#05,0
#01,0
#07,0
#01,0
#06,0
#04,0
#02,0
#02,0
#02,0
#01,0
#03,0
#05,0
#02,0
#05,0
#01,0
#01,0
#06,0
#03,0
#02,0
#02,0
#01,0
#06,0
#01,0
#07,0
#07,0
#03,0.357809501
#10,0
#06,0
#05,0
#02,0
#05,0
#01,0
#02,0
#10,0
#06,0
#03,0
#02,0
#06,0
#03,0
#06,0
#07,0
#06,0
#05,0
#05,0
#02,0
#03,0
#02,0
#02,0
#02,0
#07,0
#02,0
#01,0
#02,0
#01,0
#01,0
#06,0
#04,0
#01,0
#01,0
#02,0
#01,0
#04,0.673131532
#06,0
#06,0
#02,0
#07,0
#04,0
#01,0
#02,0
#05,0
#01,0
#04,0
#05,0
#08,0
#05,0
#07,0
#06,0
#09,0
#03,0
#06,0
#03,0
#02,0
#04,0
#04,0
#07,0
#01,0
#02,0
#01,0
#06,0
#01,0
#04,0
#01,0
#03,0
#03,0
#04,0
#01,0
#03,0
#01,0
#01,0
#02,0
#01,0
#07,0
#01,0
#01,0
#01,0
#02,0
#04,0
#02,0
#02,0
#02,0
#03,0
#05,0
#02,0
#02,0
#02,0
#05,0
#03,0
#06,0
#01,0
#01,0
#04,0
#01,0
#02,0
#01,0
#01,0
#01,0
#02,0
#03,0
#06,0
#04,0
#04,0
#05,0
#06,0
#07,0
#04,0
#01,0
#05,0
#06,0
#09,0
#06,0
#06,0
#05,0
#07,0
#03,0
#01,0
#03,0
#06,0
#05,0
#07,0
#05,0
#03,0
#03,0
#01,0
#03,0
#02,0
#06,0
#01,0
#01,0
#04,0
#01,0
#01,0
#08,0
#01,0
#01,0
#04,0
#04,0
#02,0
#09,0
#03,0
#03,0
#07,0
#05,0.165153826
#03,0
#01,0
#04,0
#05,0
#01,0
#07,0
#01,0
#02,0
#03,0
#01,0
#03,0
#02,0
#04,0
#06,0
#02,0
#03,0
#01,0
#04,0
#07,0
#07,0
#02,0
#01,0
#01,0
#02,0
#02,0
#08,0
#02,0
#07,0
#01,0
#06,0
#07,0
#02,0
#01,0
#01,0
#04,0.614803707
#05,0
#04,0
#01,0
#04,0
#06,0
#01,0
#02,0
#01,0
#07,0
#04,0
#04,0
#05,0
#08,0
#02,0
#02,0
#05,0
#01,0
#03,0
#07,0
#03,0
#03,0
#01,0
#07,0
#01,0
#02,0
#01,0
#06,0
#01,0
#08,0
#03,0
#02,0
#08,0
#07,0
#02,0
#02,0
#02,0
#01,0
#04,0
#01,0
#02,0
#02,0
#02,0
#06,0
#04,0
#01,0
#05,0
#01,0
#06,0
#01,0
#08,0
#05,0
#03,0
#02,0
#02,0
#07,0
#03,0
#01,0
#02,0
#01,0
#06,0
#05,0
#06,0
#01,0
#04,0
#04,0
#05,0
#05,0
#08,0
#01,0
#01,0
#01,0
#04,0
#02,0
#01,0
#01,0
#03,0
#04,0
#06,0
#03,0
#05,0
#04,0
#07,0
#04,0
#03,0
#03,0
#07,0
#05,0
#01,0
#01,0
#02,0
#03,0
#01,0
#03,0
#01,0
#03,0
#03,0
#04,0
#01,0
#07,0
#03,0
#01,0
#02,0
#02,0
#02,0
#01,0
#07,0
#03,0
#04,0
#07,0
#05,0
#01,0
#01,0
#06,0
#01,0
#02,0
#01,0
#06,0
#07,0
#01,0
#01,0
#06,0
#01,0
#01,0
#07,0
#01,0
#02,0
#01,0
#04,0
#05,0
#08,0
#06,0
#03,0
#08,0
#06,0
#04,0
#06,0
#08,0
#05,0.52092722
#02,0
#07,0
#03,0
#06,0
#01,0
#04,0
#06,0
#02,0
#02,0
#01,0
#02,0
#02,0
#02,0
#04,0
#06,0
#05,0
#01,0
#03,0
#03,0
#02,0
#01,0
#02,0
#05,0
#06,0
#04,0
#01,0
#02,0
#07,0
#02,0
#01,0
#07,0
#06,0
#06,0
#02,0
#01,0
#01,0
#01,0
#02,0
#02,0
#03,0
#02,0
#02,0
#08,0
#05,0
#07,0
#03,0
#01,0
#02,0
#05,0
#04,0
#01,0
#08,0
#03,0
#03,0
#08,0
#04,0
#03,0
#01,0
#04,0
#03,0
#01,0
#07,0
#07,0
#02,0
#01,0
#05,0
#03,0
#04,0
#05,0
#03,0
#07,0
#02,0
#01,0
#07,0
#08,0
#01,0
#02,0
#03,0
#03,0
#01,0
#07,0
#07,0
#03,0
#01,0
#01,0
#02,0
#03,0
#08,0
#03,0
#01,0
#03,0
#01,0
#02,0
#01,0
#02,0
#02,0
#05,0
#03,0
#06,0
#05,0
#03,0
#05,0
#06,0
#05,0
#01,0
#01,0
#04,0
#03,0
#01,0
#01,0
#03,0
#05,0
#07,0
#05,0.481177836
#01,0
#08,0
#02,0
#01,0
#07,0
#06,0
#07,0
#05,0
#02,0
#07,0
#02,0
#01,0
#03,0
#04,0
#06,0
#08,0
#04,0
#05,0
#02,0
#05,0
#02,0
#01,0
#01,0
#03,0
#07,0
#01,0
#04,0
#06,0
#06,0
#07,0
#02,0
#07,0
#07,0
#05,0
#06,0
#01,0
#06,0
#02,0
#05,0
#05,0
#02,0
#07,0
#05,0
#02,0
#01,0
#02,0
#05,0
#06,0
#01,0
#04,0
#08,0
#01,0
#03,0
#02,0
#01,0
#06,0
#02,0
#02,0
#04,0
#03,0
#03,0
#05,0
#03,0
#01,0
#05,0.155462461
#08,0
#03,0
#01,0
#03,0
#08,0
#03,0
#01,0
#02,0
#08,0
#02,0
#01,0
#07,0
#06,0
#07,0
#09,0
#01,0
#03,0
#02,0
#02,0
#03,0
#04,0
#07,0
#07,0
#02,0
#01,0
#08,0
#02,0
#03,0
#10,0
#01,0
#01,0
#02,0
#01,0
#01,0
#01,0
#01,0
#04,0
#08,0
#02,0
#05,0
#01,0
#04,0
#03,0
#04,0.098260669
#05,0
#06,0
#03,0
#06,0
#03,0
#07,0
#07,0
#01,0
#01,0
#03,0
#03,0
#07,0
#01,0
#02,0
#05,0
#01,0
#01,0
#02,0
#08,0
#02,0
#01,0
#03,0
#06,0
#05,0
#01,0
#03,0
#03,0
#05,0
#01,0
#06,0
#02,0
#05,0
#06,0
#06,0
#08,0
#06,0
#06,0
#01,0
#01,0
#01,0
#03,0
#04,0
#05,0
#01,0
#05,0
#04,0
#06,0
#07,0
#03,0
#04,0
#07,0
#05,0
#04,0
#04,0
#03,0
#04,0
#03,0
#02,0
#06,0
#02,0
#02,0
#07,0
#03,0
#03,0
#04,0
#01,0
#02,0
#01,0
#02,0
#01,0
#01,0
#07,0
#02,0
#08,1.154610148
#04,0
#06,0
#06,0
#03,0
#01,0
#02,0
#02,0
#02,0
#03,0
#04,0
#02,0
#06,0
#08,0
#04,0.383709557
#02,0
#02,0
#04,0
#06,0
#07,0
#01,0
#01,0
#02,0
#01,0
#01,0
#04,0
#08,0
#02,0
#02,0
#03,0
#04,0
#07,0
#03,0
#05,0
#01,0
#03,0
#01,0
#07,0
#02,0
#03,0
#04,0
#05,0
#04,0
#04,0
#07,0
#04,0
#06,0
#06,0
#04,0
#01,0
#03,0
#01,0
#01,0
#01,0
#06,0
#03,0
#06,0
#03,0
#02,0
#02,0
#06,0
#06,0
#05,0
#01,0
#05,0
#05,0
#04,0
#01,0
#09,0
#02,0
#04,0
#01,0
#01,0
#01,0
#07,0
#01,0
#01,0
#07,0
#06,0
#02,0
#02,0
#03,0
#01,0
#01,0
#04,0
#06,0
#02,0
#03,0
#07,0
#07,0
#01,0
#01,0
#01,0
#02,0
#06,0
#06,0
#05,0
#07,0
#05,0
#06,0
#05,0
#02,0
#05,0
#03,0
#03,0
#03,0
#01,0
#01,0
#07,0
#02,0
#02,0
#06,0
#05,0
#07,0
#01,0
#05,0
#01,0
#01,0
#02,0
#04,0
#03,0
#03,0
#01,0
#03,0
#04,0
#05,0
#07,0
#02,0
#03,0
#02,0
#02,0
#05,0
#01,0
#02,0
#04,0
#05,0
#01,0
#06,0
#04,0
#03,0
#01,0
#04,0
#02,0
#06,0
#02,0
#06,0
#07,0
#01,0
#02,0
#02,0
#01,0
#01,0
#01,0
#06,0
#02,0
#07,0
#03,0
#02,0
#04,0
#05,0
#06,0
#04,0
#05,0
#01,0
#04,0
#02,0
#01,0
#01,0
#08,0
#06,0
#03,0
#03,0
#07,0
#03,0
#05,0
#01,0
#02,0
#07,0
#02,0
#04,0
#03,0
#04,0
#01,0
#01,0
#04,0
#04,0
#07,0
#03,0
#06,0
#02,0
#01,0
#01,0
#01,0
#04,0
#01,0
#04,0
#01,0
#01,0
#04,0
#01,0
#01,0
#01,0
#01,0
#06,0
#02,0
#04,0
#01,0
#01,0
#07,0
#06,0
#02,0
#05,0
#03,0
#01,0
#01,0
#03,0
#03,0
#01,0
#03,0
#01,0
#06,0
#01,0
#03,0
#02,0
#03,0
#01,0
#04,0
#03,0
#01,0
#01,0
#03,0
#05,0
#06,0
#05,0
#05,0
#01,0
#04,0
#03,0
#03,0
#07,0
#03,0
#03,0
#02,0
#01,0
#03,0
#01,0
#01,0
#03,0
#02,0
#02,0
#01,0
#07,0
#05,0
#06,0
#01,0
#03,0
#01,0
#03,0
#03,0
#01,0
#02,0
#01,0
#01,0
#02,0
#05,0
#02,0
#03,0
#03,0
#01,0
#08,0
#03,0
#07,0
#01,0
#07,0
#07,0
#04,0
#03,0
#05,0
#01,0
#03,0
#07,0
#01,0
#03,0
#02,0
#01,0
#03,0
#02,0
#03,0
#02,0
#03,0
#05,0
#05,0
#04,0
#05,0
#05,0
#02,0
#02,0
#05,0
#03,0
#02,0
#01,0
#01,0
#07,0
#08,0
#05,0
#06,0
#05,0
#01,0
#03,0
#03,0
#01,0
#04,0
#07,0
#07,0
#01,0
#02,0
#08,0
#05,0
#02,0
#01,0
#08,0
#02,0
#05,0
#02,0
#05,0
#02,0
#03,0
#01,0
#04,0
#05,0
#03,0
#01,0
#03,0
#01,0
#05,0
#03,0
#03,0
#03,0
#06,0
#01,0
#02,0
#06,0
#05,0
#07,0
#01,0
#03,0
#01,0
#03,0
#03,0
#03,0
#05,0
#01,0
#07,0
#04,0
#01,0
#08,0
#06,0
#02,0
#02,0
#06,0
#06,0
#07,0
#03,0
#01,0
#01,0
#06,0
#01,0
#04,0
#01,0
#05,0
#01,0
#07,0
#02,0
#04,0
#06,0
#06,0
#04,0
#07,0
#01,0
#01,0
#08,0
#04,0
#05,0
#02,0
#06,0
#03,0
#04,0
#04,0
#03,0
#01,0
#06,0
#08,0
#08,0
#01,0
#05,0
#01,0
#03,0
#03,0
#05,0
#02,0
#07,0
#01,0
#06,0
#03,0
#03,0
#02,0
#06,0
#01,0
#06,0
#03,0
#03,0
#02,0
#07,0
#07,0
#01,0
#03,0
#02,0
#01,0
#01,0
#01,0
#01,0
#01,0
#06,0
#05,0
#01,0
#02,0
#04,0
#07,0
#02,0
#02,0
#02,0
#01,0
#07,0
#03,0
#05,0
#01,0
#04,0
#08,0
#02,0
#04,0
#01,0
#07,0
#01,0
#02,0
#08,0
#02,0
#03,0
#03,0
#04,0
#03,0
#01,0
#06,0
#04,0
#07,0
#07,0
#02,0
#03,0
#03,0
#02,0
#01,0
#06,0
#08,0
#03,0
#03,0
#03,0
#06,0
#01,0
#01,0
#04,0
#03,0
#08,0
#06,0
#02,0
#01,0
#03,0
#08,0
#03,0
#04,0
#03,0
#07,0
#03,0
#02,0
#03,0
#03,0
#02,0
#01,0
#02,0
#01,0
#03,0
#01,0
#01,0
#02,0
#03,0
#04,0
#07,0
#01,0
#04,0
#05,0
#06,0
#01,0
#02,0
#06,0
#01,0
#05,0
#04,0
#09,0
#03,0
#10,0
#01,0
#02,0
#03,0
#07,0
#07,0
#04,0
